ExpenseID,ExpenseDate,FiscalYear,FiscalMonth,CostCenterCode,Department_ID,Branch_ID,Category_ID,Vendor,Invoice_Number,Description,Amount,Approval_Status,Requester_Employee_ID,Approver_Employee_ID,Payment_Status,Approved_Date,Payment_Date,Delay_Reason
EXPROJECT500K,7/15/2025,2025,2025-07,CC-HQ-D003,D003,B001,C006,Microsoft,INV-HQUPGRADE,One-time HQ Core Banking Software Upgrade Project,500000.00,Approved,3615,1106,Processing,7/20/2025,,
EX0003844,4/18/2025,2025,2025-04,CC-HQ-D001,D001,B001,C001,ADP,INV-M3N8EM2P,Salaries & Payroll - ADP,53000.00,Approved,1409,1409,Processing,4/24/2025,,
EX0004583,7/25/2025,2025,2025-07,CC-HQ-D004,D004,B001,C011,Coursera for Business,INV-IY9GDP5A,"Training, Travel & Conferences - Coursera for Business",51000.00,Approved,5012,5012,Paid,7/27/2025,8/9/2025,
EX0004233,6/25/2025,2025,2025-06,CC-B021,D010,B021,C012,Amazon Business,INV-UF7JVTF9,Office Supplies & Admin - Amazon Business,48240.00,Approved,7224,7224,Paid,7/1/2025,7/13/2025,
EX0001463,6/18/2024,2024,2024-06,CC-HQ-D007,D007,B001,C002,ADP,INV-7FECZXYO,Benefits & Payroll Taxes - ADP,44200.00,Approved,2424,2424,Paid,6/23/2024,6/25/2024,
EX0000971,4/23/2024,2024,2024-04,CC-HQ-D008,D008,B001,C012,Staples,INV-GW8XYG8C,Office Supplies & Admin - Staples,42630.00,Approved,7912,7912,Paid,4/27/2024,5/8/2024,
EX0004093,5/7/2025,2025,2025-05,CC-HQ-D003,D003,B001,C003,Cushman & Wakefield,INV-YKFANXM5,Branch Rent & Leases - Cushman & Wakefield,41950.00,Approved,5506,5506,Paid,5/11/2025,5/23/2025,
EX0003864,4/8/2025,2025,2025-04,CC-HQ-D003,D003,B001,C012,Staples,INV-JH5LZTMH,Office Supplies & Admin - Staples,40340.00,Approved,1520,5506,Paid,4/10/2025,4/21/2025,
EX0002942,12/15/2024,2024,2024-12,CC-HQ-D007,D007,B001,C012,Amazon Business,INV-WVGEMPW2,Office Supplies & Admin - Amazon Business,40130.00,Approved,2424,2424,Paid,12/22/2024,1/9/2025,
EX0003886,4/30/2025,2025,2025-04,CC-HQ-D005,D005,B001,C007,CDW,INV-EV5CFPN2,Hardware & Equipment - CDW,38380.00,Approved,3286,3286,Paid,5/7/2025,5/23/2025,
EX0005329,10/14/2025,2025,2025-10,CC-HQ-D005,D005,B001,C006,Okta,INV-MZBR6T3R,Software Licenses & Subscriptions - Okta,37780.00,Approved,3286,3286,Paid,10/21/2025,11/7/2025,
EX0002210,9/11/2024,2024,2024-09,CC-HQ-D007,D007,B001,C002,ADP,INV-799DIB3W,Benefits & Payroll Taxes - ADP,36770.00,Approved,2424,2424,Delayed,9/13/2024,10/20/2024,Threshold Review Hold
EX0002651,11/18/2024,2024,2024-11,CC-HQ-D003,D003,B001,C008,KPMG,INV-WQKIFNRH,Professional Services (Legal/Consulting) - KPMG,36700.00,Approved,5506,5506,Paid,11/22/2024,12/5/2024,
EX0000970,4/4/2024,2024,2024-04,CC-HQ-D008,D008,B001,C010,Google Ads,INV-QJS4Q59D,Marketing & Community Outreach - Google Ads,36210.00,Approved,7912,7912,Paid,4/10/2024,4/16/2024,
